"","State","Prevalence","95% CI"
"1","Alabama","39.9","(37.9, 41.8)"
"2","Alaska","33.5","(31.5, 35.5)"
"3","Arizona","31.3","(30.0, 32.6)"
"4","Arkansas","38.7","(36.6, 40.8)"
"5","California","27.6","(26.1, 29.1)"
"6","Colorado","25.1","(24.1, 26.2)"
"7","Connecticut","30.4","(28.9, 31.9)"
"8","Delaware","33.9","(31.8, 36.1)"
"9","District of Columbia","24.7","(22.6, 26.9)"
"10","Florida","No data","No data"
"11","Georgia","33.9","(32.2, 35.6)"
"12","Guam","33.5","(29.2, 38.1)"
"13","Hawaii","25.0","(23.6, 26.4)"
"14","Idaho","31.6","(30.2, 33.0)"
"15","Illinois","34.2","(31.8, 36.6)"
"16","Indiana","36.3","(35.1, 37.5)"
"17","Iowa","36.4","(35.1, 37.7)"
"18","Kansas","36.0","(35.1, 37.0)"
"19","Kentucky","40.3","(38.5, 42.2)"
"20","Louisiana","38.6","(36.7, 40.6)"
"21","Maine","31.9","(30.6, 33.2)"
"22","Maryland","34.3","(33.2, 35.5)"
"23","Massachusetts","27.4","(25.9, 28.8)"
"24","Michigan","34.4","(33.1, 35.7)"
"25","Minnesota","32.4","(31.5, 33.3)"
"26","Mississippi","39.1","(37.1, 41.1)"
"27","Missouri","37.3","(35.9, 38.7)"
"28","Montana","31.8","(30.3, 33.3)"
"29","Nebraska","35.9","(34.8, 37.1)"
"30","Nevada","31.3","(28.7, 34.1)"
"31","New Hampshire","30.6","(29.0, 32.3)"
"32","New Jersey","28.2","(26.8, 29.6)"
"33","New Mexico","34.6","(32.9, 36.3)"
"34","New York","29.1","(28.3, 30.0)"
"35","North Carolina","36.0","(34.2, 37.9)"
"36","North Dakota","35.2","(33.6, 36.9)"
"37","Ohio","37.8","(36.6, 39.0)"
"38","Oklahoma","39.4","(37.7, 41.2)"
"39","Oregon","30.4","(28.9, 31.9)"
"40","Pennsylvania","33.3","(31.7, 34.9)"
"41","Puerto Rico","36.0","(33.9, 38.1)"
"42","Rhode Island","30.1","(28.4, 31.8)"
"43","South Carolina","36.1","(34.6, 37.5)"
"44","South Dakota","38.4","(35.6, 41.4)"
"45","Tennessee","35.0","(33.1, 36.8)"
"46","Texas","36.1","(34.4, 37.8)"
"47","Utah","30.9","(29.8, 32.1)"
"48","Vermont","29.0","(27.4, 30.7)"
"49","Virgin Islands","35.6","(28.7, 43.2)"
"50","Virginia","34.2","(32.9, 35.6)"
"51","Washington","28.8","(27.7, 29.9)"
"52","West Virginia","40.6","(39.1, 42.1)"
"53","Wisconsin","33.9","(32.1, 35.7)"
"54","Wyoming","32.0","(29.9, 34.1)"
