ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
69107,2011,2011,2011,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.4,,,27.2,27.7,"470,700",,,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
40953,2011,2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32,,,30.5,33.5,"7,304",32.84057112,-86.63186076,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
82528,2011,2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.4,,,25.3,29.7,"3,336",64.84507996,-147.722059,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
85635,2011,2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.1,,,23,27.3,"6,150",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
74877,2011,2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.9,,,28.8,33.1,"4,527",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
87425,2011,2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.8,,,22.9,24.7,"17,088",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
82809,2011,2011,2011,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,20.7,,,19.7,21.8,"12,976",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
98082,2011,2011,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.5,,,23,26,"6,457",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
58707,2011,2011,2011,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.8,,,26.9,30.7,"4,530",39.00883067,-75.57774117,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
88280,2011,2011,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.7,,,21.9,25.7,"4,368",38.89037139,-77.03196113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
